"Module Name","Display Name","Description","Driver Type","Start Mode","State","Status","Accept Stop","Accept Pause","Paged Pool(bytes)","Code(bytes)","BSS(bytes)","Link Date","Path","Init(bytes)"
"bttflt","Microsoft Hyper-V VHDPMEM BTT Filter","Microsoft Hyper-V VHDPMEM BTT Filter","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","20,480","0","","C:\Windows\system32\drivers\bttflt.sys","4,096"
"buttonconverter","Service for Portable Device Control devices","Service for Portable Device Control devices","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12,288","36,864","0","","C:\Windows\system32\drivers\buttonconverter.sys","4,096"
"CAD","Charge Arbitration Driver","Charge Arbitration Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","32,768","12,288","0","","C:\Windows\system32\drivers\CAD.sys","4,096"
"CDD","Canonical Display Driver","Canonical Display Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","12,288","241,664","0","","C:\Windows\system32\cdd.dll","4,096"
"cdfs","CD/DVD File System Reader","CD/DVD File System Reader","File System ","Disabled","Stopped","OK","FALSE","FALSE","69,632","16,384","0","","C:\Windows\system32\DRIVERS\cdfs.sys","4,096"
"cdrom","CD-ROM Driver","CD-ROM Driver","Kernel ","System","Running","OK","TRUE","FALSE","81,920","77,824","0","","C:\Windows\system32\drivers\cdrom.sys","4,096"
"cht4iscsi","cht4iscsi","cht4iscsi","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","278,528","0","2/5/2019 5:51:31 AM","C:\Windows\system32\drivers\cht4sx64.sys","4,096"
"cht4vbd","Chelsio Virtual Bus Driver","Chelsio Virtual Bus Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","1,433,600","208,896","0","2/5/2019 5:47:51 AM","C:\Windows\system32\drivers\cht4vx64.sys","4,096"
"CimFS","CimFS","CimFS","File System ","System","Running","OK","TRUE","FALSE","12,288","180,224","0","","C:\Windows\system32\drivers\CimFS.sys","4,096"
"circlass","Consumer IR Devices","Consumer IR Devices","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","45,056","0","","C:\Windows\system32\drivers\circlass.sys","4,096"
"CldFlt","Windows Cloud Files Filter Driver","Windows Cloud Files Filter Driver","File System ","Auto","Running","OK","TRUE","FALSE","356,352","131,072","0","","C:\Windows\system32\drivers\cldflt.sys","8,192"
"CLFS","Common Log (CLFS)","Common Log (CLFS)","Kernel ","Boot","Running","OK","TRUE","FALSE","327,680","110,592","0","","C:\Windows\system32\drivers\CLFS.sys","4,096"
"CmBatt","Microsoft ACPI Control Method Battery Driver","Microsoft ACPI Control Method Battery Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","36,864","16,384","0","","C:\Windows\system32\drivers\CmBatt.sys","4,096"
"CNG","CNG","CNG","Kernel ","Boot","Running","OK","TRUE","FALSE","0","704,512","0","","C:\Windows\system32\Drivers\cng.sys","4,096"
"cnghwassist","CNG Hardware Assist algorithm provider","CNG Hardware Assist algorithm provider","Kernel ","Disabled","Stopped","OK","FALSE","FALSE","8,192","20,480","0","","C:\Windows\system32\DRIVERS\cnghwassist.sys","4,096"
"CompositeBus","Composite Bus Enumerator Driver","Composite Bus Enumerator Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","24,576","16,384","0","","C:\Windows\system32\DriverStore\FileRepository\compositebus.inf_amd64_8cf6fa9d3afdfa25\CompositeBus.sys","4,096"
"condrv","Console Driver","Console Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","32,768","8,192","0","","C:\Windows\system32\drivers\condrv.sys","4,096"
"csaudio","Cirrus Logic SPB Amp Driver","Cirrus Logic SPB Amp Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","122,880","196,608","0","6/1/2024 6:21:00 PM","C:\Windows\system32\DriverStore\FileRepository\csaudio.inf_amd64_1711aa9be1c7d802\csaudio.sys","4,096"
"dam","Desktop Activity Moderator Driver","Desktop Activity Moderator Driver","Kernel ","System","Running","OK","TRUE","FALSE","36,864","20,480","0","","C:\Windows\system32\drivers\dam.sys","8,192"
"devmap","Usermode Device Mapper Service","Usermode Device Mapper Service","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","16,384","0","","C:\Windows\system32\DriverStore\FileRepository\devmap.inf_amd64_880513e6f03c45ef\devmap.sys","4,096"
"Dfsc","DFS Namespace Client Driver","DFS Namespace Client Driver","File System ","System","Running","OK","TRUE","FALSE","106,496","28,672","0","","C:\Windows\system32\Drivers\dfsc.sys","4,096"
"disk","Disk Driver","Disk Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","40,960","32,768","0","","C:\Windows\system32\drivers\disk.sys","4,096"
"DisplayMux","Microsoft DisplayMux","Microsoft DisplayMux","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","16,384","0","","C:\Windows\system32\DriverStore\FileRepository\displaymux.inf_amd64_da65a70f0c3ce0f3\DisplayMux.sys","4,096"
"dmvsc","dmvsc","dmvsc","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","32,768","0","","C:\Windows\system32\drivers\dmvsc.sys","4,096"
"drmkaud","Microsoft Trusted Audio Drivers","Microsoft Trusted Audio Drivers","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","4,096","0","","C:\Windows\system32\drivers\drmkaud.sys","4,096"
"DRTMNull","DRTMNull","DRTMNull","Kernel ","Manual","Running","OK","TRUE","FALSE","4,096","8,192","0","10/16/2025 1:53:53 PM","C:\Windows\system32\DRTMNull2.sys","4,096"
"DXGKrnl","LDDM Graphics Subsystem","LDDM Graphics Subsystem","Kernel ","Boot","Running","OK","TRUE","FALSE","2,822,144","667,648","0","","C:\Windows\system32\drivers\dxgkrnl.sys","8,192"
"ebdrv","QLogic 10 Gigabit Ethernet Adapter VBD","QLogic 10 Gigabit Ethernet Adapter VBD","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","1,175,552","0","11/15/2020 2:12:10 AM","C:\Windows\system32\drivers\evbda.sys","4,096"
"ebdrv0","QLogic Legacy Ethernet Adapter VBD","QLogic Legacy Ethernet Adapter VBD","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","1,163,264","0","11/7/2020 2:07:41 AM","C:\Windows\system32\drivers\evbd0a.sys","4,096"
"EhStorClass","Enhanced Storage Filter Driver","Enhanced Storage Filter Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","24,576","73,728","0","","C:\Windows\system32\drivers\EhStorClass.sys","4,096"
"EhStorTcgDrv","Microsoft driver for storage devices supporting IEEE 1667 and TCG protocols","Microsoft driver for storage devices supporting IEEE 1667 and TCG protocols","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","81,920","0","","C:\Windows\system32\drivers\EhStorTcgDrv.sys","4,096"
"ErrDev","Microsoft Hardware Error Device Driver","Microsoft Hardware Error Device Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","12,288","0","","C:\Windows\system32\drivers\errdev.sys","4,096"
"ExecutionContext","CPU Scheduler for High Performance I/O","CPU Scheduler for High Performance I/O","Kernel ","Manual","Running","OK","TRUE","FALSE","20,480","49,152","0","","C:\Windows\system32\Drivers\ExecutionContext.sys","4,096"
"exfat","exFAT File System Driver","exFAT File System Driver","File System ","Manual","Stopped","OK","FALSE","FALSE","233,472","90,112","0","","C:\Windows\system32\drivers\exfat.sys","4,096"
"fastfat","FAT12/16/32 File System Driver","FAT12/16/32 File System Driver","File System ","Manual","Running","OK","TRUE","FALSE","266,240","61,440","0","","C:\Windows\system32\drivers\fastfat.sys","4,096"
"fdc","Floppy Disk Controller Driver","Floppy Disk Controller Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","28,672","0","","C:\Windows\system32\drivers\fdc.sys","4,096"
"FileCrypt","FileCrypt","FileCrypt","File System ","System","Running","OK","TRUE","FALSE","28,672","20,480","0","","C:\Windows\system32\drivers\filecrypt.sys","4,096"
"FileInfo","File Information FS MiniFilter","File Information FS MiniFilter","File System ","Boot","Running","OK","TRUE","FALSE","49,152","20,480","0","","C:\Windows\system32\drivers\fileinfo.sys","4,096"
"Filetrace","Filetrace","Filetrace","File System ","Manual","Stopped","OK","FALSE","FALSE","12,288","20,480","0","","C:\Windows\system32\drivers\filetrace.sys","4,096"
"flpydisk","Floppy Disk Driver","Floppy Disk Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","16,384","12,288","0","","C:\Windows\system32\drivers\flpydisk.sys","4,096"
"FltMgr","FltMgr","FltMgr","File System ","Boot","Running","OK","TRUE","FALSE","237,568","159,744","0","","C:\Windows\system32\drivers\fltmgr.sys","8,192"
"FsDepends","File System Dependency Minifilter","File System Dependency Minifilter","File System ","Manual","Stopped","OK","FALSE","FALSE","40,960","12,288","0","","C:\Windows\system32\drivers\FsDepends.sys","4,096"
"fvevol","BitLocker Drive Encryption Filter Driver","BitLocker Drive Encryption Filter Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","581,632","172,032","0","","C:\Windows\system32\DRIVERS\fvevol.sys","12,288"
"gencounter","Microsoft Hyper-V Generation Counter","Microsoft Hyper-V Generation Counter","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","8,192","0","","C:\Windows\system32\drivers\vmgencounter.sys","4,096"
"genericusbfn","Generic USB Function Class","Generic USB Function Class","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","16,384","0","","C:\Windows\system32\DriverStore\FileRepository\genericusbfn.inf_amd64_71c810ddc0116541\genericusbfn.sys","4,096"
"GenPass","Microsoft GenPass Driver","Microsoft GenPass Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","12,288","0","","C:\Windows\system32\DriverStore\FileRepository\genpass.inf_amd64_0c82d80c9252c9bd\genpass.sys","4,096"
