"DeviceName","Manufacturer","DriverVersion","InfName","DeviceID"
"ROG Strix G18 UEFI","ASUSTeK COMPUTER INC.","10.1.2.316","oem122.inf","UEFI\RES_{3C1D5B77-21FF-5ADB-830B-72B56DD19B4F}\0"
"Standard NVM Express Controller","Standard NVM Express Controller","10.0.26100.8737","stornvme.inf","PCI\VEN_1344&DEV_5425&SUBSYS_21001344&REV_01\4&2333C5A6&0&000A"
"System CMOS/real time clock","(Standard system devices)","10.0.26100.1150","machine.inf","ACPI\PNP0B00\4&2CA764C4&0"
"System speaker","(Standard system devices)","10.0.26100.1150","machine.inf","ACPI\PNP0800\4&2CA764C4&0"
"System timer","(Standard system devices)","10.0.26100.1150","machine.inf","ACPI\PNP0100\4&2CA764C4&0"
"Trusted Platform Module 2.0","(Standard)","10.0.26100.8521","tpm.inf","ACPI\MSFT0101\1"
"UCM-UCSI ACPI Device","Microsoft","10.0.26100.8521","ucmucsiacpiclient.inf","ACPI\USBC000\0"
"UMBus Root Bus Enumerator","Microsoft","10.0.26100.1150","umbus.inf","ROOT\UMBUS\0000"
"USB Composite Device","(Standard USB Host Controller)","10.0.26100.8737","usb.inf","USB\VID_0489&PID_E0F6\000000000"
"USB Composite Device","(Standard USB Host Controller)","10.0.26100.8737","usb.inf","USB\VID_0B05&PID_19B6\6&1CEE51E0&0&1"
"USB Composite Device","(Standard USB Host Controller)","10.0.26100.8737","usb.inf","USB\VID_3277&PID_0010\SN0001"
"USB Input Device","(Standard system devices)","10.0.26100.8875","input.inf","USB\VID_0B05&PID_19B6&MI_00\7&9BAA2FC&0&0000"
"USB Input Device","(Standard system devices)","10.0.26100.8875","input.inf","USB\VID_0B05&PID_19B6&MI_01\7&9BAA2FC&0&0001"
"USB Mass Storage Device","Compatible USB storage device","10.0.26100.8521","usbstor.inf","USB\VID_1058&PID_071A\575838314136303931323237"
"USB Root Hub (USB 3.0)","(Standard USB HUBs)","10.0.26100.8737","usbhub3.inf","USB\ROOT_HUB30\5&1BCC52D3&0&0"
"USB Root Hub (USB 3.0)","(Standard USB HUBs)","10.0.26100.8737","usbhub3.inf","USB\ROOT_HUB30\7&2D8DAE92&0&0"
"USB Root Hub (USB 3.0)","(Standard USB HUBs)","10.0.26100.8737","usbhub3.inf","USB\ROOT_HUB30\5&1D2D771E&0&0"
"USB Root Hub (USB 3.0)","(Standard USB HUBs)","10.0.26100.8737","usbhub3.inf","USB\ROOT_HUB30\5&6148D45&0&0"
"USB xHCI Compliant Host Controller","Generic USB xHCI Host Controller","10.0.26100.8875","usbxhci.inf","PCI\VEN_1022&DEV_15B7&SUBSYS_201F1043&REV_00\4&16012499&0&0441"
"USB xHCI Compliant Host Controller","Generic USB xHCI Host Controller","10.0.26100.8875","usbxhci.inf","PCI\VEN_1B21&DEV_2426&SUBSYS_20AF1043&REV_01\451ECAFFFF5177A000"
"USB xHCI Compliant Host Controller","Generic USB xHCI Host Controller","10.0.26100.8875","usbxhci.inf","PCI\VEN_1022&DEV_15B8&SUBSYS_201F1043&REV_00\4&2C288D56&0&0043"
"USB xHCI Compliant Host Controller","Generic USB xHCI Host Controller","10.0.26100.8875","usbxhci.inf","PCI\VEN_1022&DEV_15B6&SUBSYS_201F1043&REV_00\4&16012499&0&0341"
"USB4 Root Router","Generic USB4 Device Router","10.0.26100.8737","usb4devicerouter.inf","USB4\ROOT_DEVICE_ROUTER&VID_1B21&PID_2425\7&773ED73&0&0"
"USB4 Virtual power coordination device",,,,"USB4\VIRTUAL_POWER_PDO\7&773ED73&0&0"
"USB4(TM) Host Router (Microsoft)","Generic USB4 Host Router","10.0.26100.8737","usb4hostrouter.inf","PCI\VEN_1B21&DEV_2425&SUBSYS_20AF1043&REV_01&USB4_MS_CM\451ECAFFFF5177A000"
"Voice Clarity","Microsoft Corporation","1.0.4.7057","oem108.inf","SWD\DRIVERENUM\{96BEDF2C-18CB-4A15-B821-5E95ED0FEA61}#VOCAEFFECTPACK&1&2ACC2721&0"
"Volume","Microsoft","10.0.26100.5074","volume.inf","STORAGE\VOLUME\{22F7D494-C298-11F0-A53D-806E6F6E6963}#000000E72F600000"
"Volume","Microsoft","10.0.26100.5074","volume.inf","STORAGE\VOLUME\{22F7D494-C298-11F0-A53D-806E6F6E6963}#000000E767600000"
"Volume","Microsoft","10.0.26100.5074","volume.inf","STORAGE\VOLUME\{22F7D494-C298-11F0-A53D-806E6F6E6963}#0000000011500000"
"Volume","Microsoft","10.0.26100.5074","volume.inf","STORAGE\VOLUME\{22F7D494-C298-11F0-A53D-806E6F6E6963}#0000000000100000"
"Volume","Microsoft","10.0.26100.5074","volume.inf","STORAGE\VOLUME\{22F7D494-C298-11F0-A53D-806E6F6E6963}#0000000010500000"
"Volume","Microsoft","10.0.26100.5074","volume.inf","STORAGE\VOLUME\{BA1A9A57-912D-11F1-A556-4845E634A062}#0000000000100000"
"Volume","Microsoft","10.0.26100.5074","volume.inf","STORAGE\VOLUME\{22F7D494-C298-11F0-A53D-806E6F6E6963}#000000EE67600000"
"Volume Manager","Microsoft","10.0.26100.8521","volmgr.inf","ROOT\VOLMGR\0000"
"WAN Miniport (IKEv2)","Microsoft","10.0.26100.1","netavpna.inf","SWD\MSRRAS\MS_AGILEVPNMINIPORT"
"WAN Miniport (IP)","Microsoft","10.0.26100.1","netrasa.inf","SWD\MSRRAS\MS_NDISWANIP"
"WAN Miniport (IPv6)","Microsoft","10.0.26100.1","netrasa.inf","SWD\MSRRAS\MS_NDISWANIPV6"
"WAN Miniport (L2TP)","Microsoft","10.0.26100.1","netrasa.inf","SWD\MSRRAS\MS_L2TPMINIPORT"
"WAN Miniport (Network Monitor)","Microsoft","10.0.26100.1","netrasa.inf","SWD\MSRRAS\MS_NDISWANBH"
"WAN Miniport (PPPOE)","Microsoft","10.0.26100.1","netrasa.inf","SWD\MSRRAS\MS_PPPOEMINIPORT"
"WAN Miniport (PPTP)","Microsoft","10.0.26100.1","netrasa.inf","SWD\MSRRAS\MS_PPTPMINIPORT"
"WAN Miniport (SSTP)","Microsoft","10.0.26100.1","netsstpa.inf","SWD\MSRRAS\MS_SSTPMINIPORT"
"WD SES Device","Western Digital Technologies","4.55.25.661","oem143.inf","USBSTOR\OTHER&VEN_WD&PROD_SES_DEVICE&REV_2011\575838314136303931323237&1"
"WinUsb Device","WinUsb Device","10.0.26100.8875","winusb.inf","USB\VID_3277&PID_0010&MI_02\7&DF5034D&0&0002"
